ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,InvetrerCost,NoOfInveters ,NoOfPanels,Tags,SolarSystem
961-1200,10kW,Off Grid,JA Solar China,Goodwee China,Lead Acid,5,580000,1,10,961-1200 Off Grid JA Solar China Goodwee China Lead Acid,10kW Off Grid | 10 solar panel- JA Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1600000
0-120,1kW,Off Grid,JA Solar China,SMA Germany ,Lead Acid,1,84000,1,1,0-120 Off Grid JA Solar China SMA Germany  Lead Acid,1kW Off Grid | 1 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 191000
121-240,2kW,Off Grid,JA Solar China,SMA Germany ,Lead Acid,1,120000,1,2,121-240 Off Grid JA Solar China SMA Germany  Lead Acid,2kW Off Grid | 2 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 324000
241-420,3.5kW,Off Grid,JA Solar China,SMA Germany ,Lead Acid,2,240000,1,4,241-420 Off Grid JA Solar China SMA Germany  Lead Acid,3.5kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 648000
421-480,4kW,Off Grid,JA Solar China,SMA Germany ,Lead Acid,2,320000,1,4,421-480 Off Grid JA Solar China SMA Germany  Lead Acid,4kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 728000
481-600,5kW,Off Grid,JA Solar China,SMA Germany ,Lead Acid,3,440000,1,5,481-600 Off Grid JA Solar China SMA Germany  Lead Acid,5kW Off Grid | 5 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1010000
601-900,7.5kW,Off Grid,JA Solar China,SMA Germany ,Lead Acid,4,520000,1,7,601-900 Off Grid JA Solar China SMA Germany  Lead Acid,7.5kW Off Grid | 7 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1294000
901-960,8kW,Off Grid,JA Solar China,SMA Germany ,Lead Acid,4,610000,1,8,901-960 Off Grid JA Solar China SMA Germany  Lead Acid,8kW Off Grid | 8 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1426000
961-1200,10kW,Off Grid,JA Solar China,SMA Germany ,Lead Acid,5,710000,1,10,961-1200 Off Grid JA Solar China SMA Germany  Lead Acid,10kW Off Grid | 10 solar panel- JA Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1730000
0-120,1kW,Off Grid,JA Solar China,CanadainSolar Canada,Lead Acid,1,88000,1,1,0-120 Off Grid JA Solar China CanadainSolar Canada Lead Acid,1kW Off Grid | 1 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 195000
121-240,2kW,Off Grid,JA Solar China,CanadainSolar Canada,Lead Acid,1,120000,1,2,121-240 Off Grid JA Solar China CanadainSolar Canada Lead Acid,2kW Off Grid | 2 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 324000
241-420,3.5kW,Off Grid,JA Solar China,CanadainSolar Canada,Lead Acid,2,210000,1,4,241-420 Off Grid JA Solar China CanadainSolar Canada Lead Acid,3.5kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 618000
421-480,4kW,Off Grid,JA Solar China,CanadainSolar Canada,Lead Acid,2,290000,1,4,421-480 Off Grid JA Solar China CanadainSolar Canada Lead Acid,4kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 698000
481-600,5kW,Off Grid,JA Solar China,CanadainSolar Canada,Lead Acid,3,390000,1,5,481-600 Off Grid JA Solar China CanadainSolar Canada Lead Acid,5kW Off Grid | 5 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 960000
601-900,7.5kW,Off Grid,JA Solar China,CanadainSolar Canada,Lead Acid,4,500000,1,7,601-900 Off Grid JA Solar China CanadainSolar Canada Lead Acid,7.5kW Off Grid | 7 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1274000
901-960,8kW,Off Grid,JA Solar China,CanadainSolar Canada,Lead Acid,4,610000,1,8,901-960 Off Grid JA Solar China CanadainSolar Canada Lead Acid,8kW Off Grid | 8 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1426000
961-1200,10kW,Off Grid,JA Solar China,CanadainSolar Canada,Lead Acid,5,710000,1,10,961-1200 Off Grid JA Solar China CanadainSolar Canada Lead Acid,10kW Off Grid | 10 solar panel- JA Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1730000
0-120,1kW,Off Grid,JA Solar China,Growatt China,Lead Acid,1,66000,1,1,0-120 Off Grid JA Solar China Growatt China Lead Acid,1kW Off Grid | 1 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 173000
121-240,2kW,Off Grid,JA Solar China,Growatt China,Lead Acid,1,95000,1,2,121-240 Off Grid JA Solar China Growatt China Lead Acid,2kW Off Grid | 2 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 299000
241-420,3.5kW,Off Grid,JA Solar China,Growatt China,Lead Acid,2,198000,1,4,241-420 Off Grid JA Solar China Growatt China Lead Acid,3.5kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 606000
421-480,4kW,Off Grid,JA Solar China,Growatt China,Lead Acid,2,310000,1,4,421-480 Off Grid JA Solar China Growatt China Lead Acid,4kW Off Grid | 4 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 718000
481-600,5kW,Off Grid,JA Solar China,Growatt China,Lead Acid,3,390000,1,5,481-600 Off Grid JA Solar China Growatt China Lead Acid,5kW Off Grid | 5 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 960000
601-900,7.5kW,Off Grid,JA Solar China,Growatt China,Lead Acid,4,490000,1,7,601-900 Off Grid JA Solar China Growatt China Lead Acid,7.5kW Off Grid | 7 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1264000
901-960,8kW,Off Grid,JA Solar China,Growatt China,Lead Acid,4,520000,1,8,901-960 Off Grid JA Solar China Growatt China Lead Acid,8kW Off Grid | 8 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1336000
961-1200,10kW,Off Grid,JA Solar China,Growatt China,Lead Acid,5,580000,1,10,961-1200 Off Grid JA Solar China Growatt China Lead Acid,10kW Off Grid | 10 solar panel- JA Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1600000
0-120,1kW,Off Grid,Jinko Solar China,Goodwee China,Lead Acid,1,64000,1,1,0-120 Off Grid Jinko Solar China Goodwee China Lead Acid,1kW Off Grid | 1 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 175000
121-240,2kW,Off Grid,Jinko Solar China,Goodwee China,Lead Acid,1,100000,1,2,121-240 Off Grid Jinko Solar China Goodwee China Lead Acid,2kW Off Grid | 2 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 312000
241-420,3.5kW,Off Grid,Jinko Solar China,Goodwee China,Lead Acid,2,190000,1,4,241-420 Off Grid Jinko Solar China Goodwee China Lead Acid,3.5kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 614000
421-480,4kW,Off Grid,Jinko Solar China,Goodwee China,Lead Acid,2,280000,1,4,421-480 Off Grid Jinko Solar China Goodwee China Lead Acid,4kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 704000
481-600,5kW,Off Grid,Jinko Solar China,Goodwee China,Lead Acid,3,380000,1,5,481-600 Off Grid Jinko Solar China Goodwee China Lead Acid,5kW Off Grid | 5 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 970000
601-900,7.5kW,Off Grid,Jinko Solar China,Goodwee China,Lead Acid,4,490000,1,7,601-900 Off Grid Jinko Solar China Goodwee China Lead Acid,7.5kW Off Grid | 7 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1292000
901-960,8kW,Off Grid,Jinko Solar China,Goodwee China,Lead Acid,4,500000,1,8,901-960 Off Grid Jinko Solar China Goodwee China Lead Acid,8kW Off Grid | 8 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1348000
961-1200,10kW,Off Grid,Jinko Solar China,Goodwee China,Lead Acid,5,580000,1,10,961-1200 Off Grid Jinko Solar China Goodwee China Lead Acid,10kW Off Grid | 10 solar panel- Jinko Solar China | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1640000
0-120,1kW,Off Grid,Jinko Solar China,SMA Germany ,Lead Acid,1,84000,1,1,0-120 Off Grid Jinko Solar China SMA Germany  Lead Acid,1kW Off Grid | 1 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 195000
121-240,2kW,Off Grid,Jinko Solar China,SMA Germany ,Lead Acid,1,120000,1,2,121-240 Off Grid Jinko Solar China SMA Germany  Lead Acid,2kW Off Grid | 2 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 332000
241-420,3.5kW,Off Grid,Jinko Solar China,SMA Germany ,Lead Acid,2,240000,1,4,241-420 Off Grid Jinko Solar China SMA Germany  Lead Acid,3.5kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 664000
421-480,4kW,Off Grid,Jinko Solar China,SMA Germany ,Lead Acid,2,320000,1,4,421-480 Off Grid Jinko Solar China SMA Germany  Lead Acid,4kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 744000
481-600,5kW,Off Grid,Jinko Solar China,SMA Germany ,Lead Acid,3,440000,1,5,481-600 Off Grid Jinko Solar China SMA Germany  Lead Acid,5kW Off Grid | 5 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1030000
601-900,7.5kW,Off Grid,Jinko Solar China,SMA Germany ,Lead Acid,4,520000,1,7,601-900 Off Grid Jinko Solar China SMA Germany  Lead Acid,7.5kW Off Grid | 7 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1322000
901-960,8kW,Off Grid,Jinko Solar China,SMA Germany ,Lead Acid,4,610000,1,8,901-960 Off Grid Jinko Solar China SMA Germany  Lead Acid,8kW Off Grid | 8 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1458000
961-1200,10kW,Off Grid,Jinko Solar China,SMA Germany ,Lead Acid,5,710000,1,10,961-1200 Off Grid Jinko Solar China SMA Germany  Lead Acid,10kW Off Grid | 10 solar panel- Jinko Solar China | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1770000
0-120,1kW,Off Grid,Jinko Solar China,CanadainSolar Canada,Lead Acid,1,88000,1,1,0-120 Off Grid Jinko Solar China CanadainSolar Canada Lead Acid,1kW Off Grid | 1 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 199000
121-240,2kW,Off Grid,Jinko Solar China,CanadainSolar Canada,Lead Acid,1,120000,1,2,121-240 Off Grid Jinko Solar China CanadainSolar Canada Lead Acid,2kW Off Grid | 2 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 332000
241-420,3.5kW,Off Grid,Jinko Solar China,CanadainSolar Canada,Lead Acid,2,210000,1,4,241-420 Off Grid Jinko Solar China CanadainSolar Canada Lead Acid,3.5kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 634000
421-480,4kW,Off Grid,Jinko Solar China,CanadainSolar Canada,Lead Acid,2,290000,1,4,421-480 Off Grid Jinko Solar China CanadainSolar Canada Lead Acid,4kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 714000
481-600,5kW,Off Grid,Jinko Solar China,CanadainSolar Canada,Lead Acid,3,390000,1,5,481-600 Off Grid Jinko Solar China CanadainSolar Canada Lead Acid,5kW Off Grid | 5 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 980000
601-900,7.5kW,Off Grid,Jinko Solar China,CanadainSolar Canada,Lead Acid,4,500000,1,7,601-900 Off Grid Jinko Solar China CanadainSolar Canada Lead Acid,7.5kW Off Grid | 7 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1302000
901-960,8kW,Off Grid,Jinko Solar China,CanadainSolar Canada,Lead Acid,4,610000,1,8,901-960 Off Grid Jinko Solar China CanadainSolar Canada Lead Acid,8kW Off Grid | 8 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1458000
961-1200,10kW,Off Grid,Jinko Solar China,CanadainSolar Canada,Lead Acid,5,710000,1,10,961-1200 Off Grid Jinko Solar China CanadainSolar Canada Lead Acid,10kW Off Grid | 10 solar panel- Jinko Solar China | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1770000
0-120,1kW,Off Grid,Jinko Solar China,Growatt China,Lead Acid,1,66000,1,1,0-120 Off Grid Jinko Solar China Growatt China Lead Acid,1kW Off Grid | 1 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 177000
121-240,2kW,Off Grid,Jinko Solar China,Growatt China,Lead Acid,1,95000,1,2,121-240 Off Grid Jinko Solar China Growatt China Lead Acid,2kW Off Grid | 2 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 307000
241-420,3.5kW,Off Grid,Jinko Solar China,Growatt China,Lead Acid,2,198000,1,4,241-420 Off Grid Jinko Solar China Growatt China Lead Acid,3.5kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 622000
421-480,4kW,Off Grid,Jinko Solar China,Growatt China,Lead Acid,2,310000,1,4,421-480 Off Grid Jinko Solar China Growatt China Lead Acid,4kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 734000
481-600,5kW,Off Grid,Jinko Solar China,Growatt China,Lead Acid,3,390000,1,5,481-600 Off Grid Jinko Solar China Growatt China Lead Acid,5kW Off Grid | 5 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 980000
601-900,7.5kW,Off Grid,Jinko Solar China,Growatt China,Lead Acid,4,490000,1,7,601-900 Off Grid Jinko Solar China Growatt China Lead Acid,7.5kW Off Grid | 7 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1292000
901-960,8kW,Off Grid,Jinko Solar China,Growatt China,Lead Acid,4,520000,1,8,901-960 Off Grid Jinko Solar China Growatt China Lead Acid,8kW Off Grid | 8 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1368000
961-1200,10kW,Off Grid,Jinko Solar China,Growatt China,Lead Acid,5,580000,1,10,961-1200 Off Grid Jinko Solar China Growatt China Lead Acid,10kW Off Grid | 10 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1640000
0-120,1kW,Off Grid,Canadian Solar Canada,Goodwee China,Lead Acid,1,64000,1,1,0-120 Off Grid Canadian Solar Canada Goodwee China Lead Acid,1kW Off Grid | 1 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 183000
121-240,2kW,Off Grid,Canadian Solar Canada,Goodwee China,Lead Acid,1,100000,1,2,121-240 Off Grid Canadian Solar Canada Goodwee China Lead Acid,2kW Off Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 328000
241-420,3.5kW,Off Grid,Canadian Solar Canada,Goodwee China,Lead Acid,2,190000,1,4,241-420 Off Grid Canadian Solar Canada Goodwee China Lead Acid,3.5kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 646000
421-480,4kW,Off Grid,Canadian Solar Canada,Goodwee China,Lead Acid,2,280000,1,4,421-480 Off Grid Canadian Solar Canada Goodwee China Lead Acid,4kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 736000
481-600,5kW,Off Grid,Canadian Solar Canada,Goodwee China,Lead Acid,3,380000,1,5,481-600 Off Grid Canadian Solar Canada Goodwee China Lead Acid,5kW Off Grid | 5 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1010000
601-900,7.5kW,Off Grid,Canadian Solar Canada,Goodwee China,Lead Acid,4,490000,1,7,601-900 Off Grid Canadian Solar Canada Goodwee China Lead Acid,7.5kW Off Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1348000
901-960,8kW,Off Grid,Canadian Solar Canada,Goodwee China,Lead Acid,4,500000,1,8,901-960 Off Grid Canadian Solar Canada Goodwee China Lead Acid,8kW Off Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1412000
961-1200,10kW,Off Grid,Canadian Solar Canada,Goodwee China,Lead Acid,5,580000,1,10,961-1200 Off Grid Canadian Solar Canada Goodwee China Lead Acid,10kW Off Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 1720000
0-120,1kW,Off Grid,Canadian Solar Canada,SMA Germany ,Lead Acid,1,84000,1,1,0-120 Off Grid Canadian Solar Canada SMA Germany  Lead Acid,1kW Off Grid | 1 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 203000
121-240,2kW,Off Grid,Canadian Solar Canada,SMA Germany ,Lead Acid,1,120000,1,2,121-240 Off Grid Canadian Solar Canada SMA Germany  Lead Acid,2kW Off Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 348000
241-420,3.5kW,Off Grid,Canadian Solar Canada,SMA Germany ,Lead Acid,2,240000,1,4,241-420 Off Grid Canadian Solar Canada SMA Germany  Lead Acid,3.5kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 696000
421-480,4kW,Off Grid,Canadian Solar Canada,SMA Germany ,Lead Acid,2,320000,1,4,421-480 Off Grid Canadian Solar Canada SMA Germany  Lead Acid,4kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 776000
481-600,5kW,Off Grid,Canadian Solar Canada,SMA Germany ,Lead Acid,3,440000,1,5,481-600 Off Grid Canadian Solar Canada SMA Germany  Lead Acid,5kW Off Grid | 5 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1070000
601-900,7.5kW,Off Grid,Canadian Solar Canada,SMA Germany ,Lead Acid,4,520000,1,7,601-900 Off Grid Canadian Solar Canada SMA Germany  Lead Acid,7.5kW Off Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1378000
901-960,8kW,Off Grid,Canadian Solar Canada,SMA Germany ,Lead Acid,4,610000,1,8,901-960 Off Grid Canadian Solar Canada SMA Germany  Lead Acid,8kW Off Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1522000
961-1200,10kW,Off Grid,Canadian Solar Canada,SMA Germany ,Lead Acid,5,710000,1,10,961-1200 Off Grid Canadian Solar Canada SMA Germany  Lead Acid,10kW Off Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  Lead Acid | Solar system cost Rs. 1850000
0-120,1kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,Lead Acid,1,88000,1,1,0-120 Off Grid Canadian Solar Canada CanadainSolar Canada Lead Acid,1kW Off Grid | 1 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 207000
121-240,2kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,Lead Acid,1,120000,1,2,121-240 Off Grid Canadian Solar Canada CanadainSolar Canada Lead Acid,2kW Off Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 348000
241-420,3.5kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,Lead Acid,2,210000,1,4,241-420 Off Grid Canadian Solar Canada CanadainSolar Canada Lead Acid,3.5kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 666000
421-480,4kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,Lead Acid,2,290000,1,4,421-480 Off Grid Canadian Solar Canada CanadainSolar Canada Lead Acid,4kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 746000
481-600,5kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,Lead Acid,3,390000,1,5,481-600 Off Grid Canadian Solar Canada CanadainSolar Canada Lead Acid,5kW Off Grid | 5 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1020000
601-900,7.5kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,Lead Acid,4,500000,1,7,601-900 Off Grid Canadian Solar Canada CanadainSolar Canada Lead Acid,7.5kW Off Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1358000
901-960,8kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,Lead Acid,4,610000,1,8,901-960 Off Grid Canadian Solar Canada CanadainSolar Canada Lead Acid,8kW Off Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1522000
961-1200,10kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,Lead Acid,5,710000,1,10,961-1200 Off Grid Canadian Solar Canada CanadainSolar Canada Lead Acid,10kW Off Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  Lead Acid | Solar system cost Rs. 1850000
0-120,1kW,Off Grid,Canadian Solar Canada,Growatt China,Lead Acid,1,66000,1,1,0-120 Off Grid Canadian Solar Canada Growatt China Lead Acid,1kW Off Grid | 1 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 185000
121-240,2kW,Off Grid,Canadian Solar Canada,Growatt China,Lead Acid,1,95000,1,2,121-240 Off Grid Canadian Solar Canada Growatt China Lead Acid,2kW Off Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 323000
241-420,3.5kW,Off Grid,Canadian Solar Canada,Growatt China,Lead Acid,2,198000,1,4,241-420 Off Grid Canadian Solar Canada Growatt China Lead Acid,3.5kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 654000
421-480,4kW,Off Grid,Canadian Solar Canada,Growatt China,Lead Acid,2,310000,1,4,421-480 Off Grid Canadian Solar Canada Growatt China Lead Acid,4kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 766000
481-600,5kW,Off Grid,Canadian Solar Canada,Growatt China,Lead Acid,3,390000,1,5,481-600 Off Grid Canadian Solar Canada Growatt China Lead Acid,5kW Off Grid | 5 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1020000
601-900,7.5kW,Off Grid,Canadian Solar Canada,Growatt China,Lead Acid,4,490000,1,7,601-900 Off Grid Canadian Solar Canada Growatt China Lead Acid,7.5kW Off Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1348000
901-960,8kW,Off Grid,Canadian Solar Canada,Growatt China,Lead Acid,4,520000,1,8,901-960 Off Grid Canadian Solar Canada Growatt China Lead Acid,8kW Off Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1432000
961-1200,10kW,Off Grid,Canadian Solar Canada,Growatt China,Lead Acid,5,580000,1,10,961-1200 Off Grid Canadian Solar Canada Growatt China Lead Acid,10kW Off Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  Lead Acid | Solar system cost Rs. 1720000
0-120,1kW,Off Grid,Panasonic Japan,Goodwee China,Lead Acid,1,64000,1,1,0-120 Off Grid Panasonic Japan Goodwee China Lead Acid,1kW Off Grid | 1 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 191000
121-240,2kW,Off Grid,Panasonic Japan,Goodwee China,Lead Acid,1,100000,1,2,121-240 Off Grid Panasonic Japan Goodwee China Lead Acid,2kW Off Grid | 2 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 344000
241-420,3.5kW,Off Grid,Panasonic Japan,Goodwee China,Lead Acid,2,190000,1,4,241-420 Off Grid Panasonic Japan Goodwee China Lead Acid,3.5kW Off Grid | 4 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 678000
421-480,4kW,Off Grid,Panasonic Japan,Goodwee China,Lead Acid,2,280000,1,4,421-480 Off Grid Panasonic Japan Goodwee China Lead Acid,4kW Off Grid | 4 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  Lead Acid | Solar system cost Rs. 768000
